prospect_id,full_name,title,seniority_tier,seniority_mult,company,is_mql,is_opp,is_closed_won,pipeline_value,touch_number,channel,campaign_name,utm_source,utm_medium,utm_campaign,utm_content,utm_term,timestamp,form_type
PRO-00005,Casey Jackson,Chief Data Officer,c_suite_vp,1.5,Ironset,True,True,False,172227,2,programmatic,DSP-ABM-AirCover-Strategic,stackadapt,display,dsp_abm_aircover_strategic,display-banner_awareness,lookalike-data-engineers,2025-04-03T16:16:00,gated_content_download
PRO-00005,Casey Jackson,Chief Data Officer,c_suite_vp,1.5,Ironset,True,True,False,172227,3,g2,G2-Retarget-CategoryBuyers,g2,review-site,g2_retarget_categorybuyers,badge-display_integration,etl-tools-comparison,2025-04-24T16:48:00,gated_content_download
PRO-00005,Casey Jackson,Chief Data Officer,c_suite_vp,1.5,Ironset,True,True,False,172227,4,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_awareness,abm-strategic-accounts,2025-05-05T15:00:00,trial_signup
PRO-00006,Avery Rodriguez,Senior Data Engineer,ic_analyst,0.75,Datavera,True,True,False,62958,1,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_pain-point_cta-trial,li-retarget-site-visitors-30d,2025-09-29T08:38:00,trial_signup
PRO-00006,Avery Rodriguez,Senior Data Engineer,ic_analyst,0.75,Datavera,True,True,False,62958,2,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_pain-point_cta-trial,li-ent-data-engineers,2025-10-20T12:15:00,trial_signup
PRO-00006,Avery Rodriguez,Senior Data Engineer,ic_analyst,0.75,Datavera,True,True,False,62958,3,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_social-proof_cta-demo,li-lookalike-closed-won,2025-11-10T09:48:00,demo_request
PRO-00006,Avery Rodriguez,Senior Data Engineer,ic_analyst,0.75,Datavera,True,True,False,62958,4,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_awareness,lookalike-data-engineers,2025-11-19T12:33:00,newsletter_signup
PRO-00007,Dana Hall,Analytics Manager,manager,1.0,Luminary Data,False,False,False,0,1,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_social-proof_cta-learn-more,li-ent-data-engineers,2025-06-23T08:37:00,gated_content_download
PRO-00007,Dana Hall,Analytics Manager,manager,1.0,Luminary Data,False,False,False,0,2,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_thought-leadership_cta-learn-more,li-ent-data-engineers,2025-07-10T08:14:00,newsletter_signup
PRO-00008,Rowan Rodriguez,Senior Data Engineer,ic_analyst,0.75,Apex Workflows,False,False,False,0,1,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_pain-point_cta-trial,li-lookalike-closed-won,2025-05-05T15:51:00,gated_content_download
PRO-00008,Rowan Rodriguez,Senior Data Engineer,ic_analyst,0.75,Apex Workflows,False,False,False,0,2,g2,G2-Retarget-CategoryBuyers,g2,review-site,g2_retarget_categorybuyers,retarget-banner_category,pipeline-software-evaluation,2025-05-19T15:55:00,gated_content_download
PRO-00008,Rowan Rodriguez,Senior Data Engineer,ic_analyst,0.75,Apex Workflows,False,False,False,0,3,google,GGL-NonBrand-ETL-Tools,google,paid-search,ggl_nonbrand_etl_tools,text-ad_search,pipeform-alternative,2025-06-02T13:51:00,gated_content_download
PRO-00009,Drew Anderson,Data Engineer,ic_analyst,0.75,Vaultbase,True,False,False,0,1,google,GGL-Competitor-Streamlink-Alt,google,paid-search,ggl_competitor_streamlink_alt,text-ad_search,etl-software,2025-10-09T09:03:00,demo_request
PRO-00009,Drew Anderson,Data Engineer,ic_analyst,0.75,Vaultbase,True,False,False,0,2,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_search,data-integration-platform,2025-10-29T11:10:00,demo_request
PRO-00009,Drew Anderson,Data Engineer,ic_analyst,0.75,Vaultbase,True,False,False,0,3,programmatic,DSP-Awareness-DataEngineers,stackadapt,display,dsp_awareness_dataengineers,display-banner_retarget,retarget-site-visitors-14d,2025-11-07T14:00:00,newsletter_signup
PRO-00010,Sage Martinez,Director of Business Intelligence,director,1.25,Ironset,True,False,False,0,1,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_thought-leadership_cta-learn-more,li-ent-data-engineers,2025-01-30T17:47:00,gated_content_download
PRO-00010,Sage Martinez,Director of Business Intelligence,director,1.25,Ironset,True,False,False,0,2,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_abm,lookalike-data-engineers,2025-02-13T16:58:00,gated_content_download
PRO-00011,Sage Walker,Analytics Manager,manager,1.0,Vaultbase,False,False,False,0,1,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_thought-leadership_cta-learn-more,li-retarget-site-visitors-30d,2025-01-21T17:05:00,gated_content_download
PRO-00011,Sage Walker,Analytics Manager,manager,1.0,Vaultbase,False,False,False,0,2,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_thought-leadership_cta-download,li-lookalike-closed-won,2025-02-10T13:15:00,gated_content_download
PRO-00011,Sage Walker,Analytics Manager,manager,1.0,Vaultbase,False,False,False,0,3,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_pain-point_cta-trial,li-abm-strategic-accounts,2025-03-03T09:00:00,gated_content_download
PRO-00012,Indigo Wilson,VP of Analytics,c_suite_vp,1.5,Catalyst Systems,False,False,False,0,1,linkedin,LI-MOFU-Demo-DataEngineers,linkedin,paid-social,li_mofu_demo_dataengineers,single-image_pain-point_cta-demo,li-abm-strategic-accounts,2025-03-24T15:53:00,gated_content_download
PRO-00012,Indigo Wilson,VP of Analytics,c_suite_vp,1.5,Catalyst Systems,False,False,False,0,2,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_pain-point_cta-trial,li-abm-strategic-accounts,2025-04-10T09:56:00,gated_content_download
PRO-00012,Indigo Wilson,VP of Analytics,c_suite_vp,1.5,Catalyst Systems,False,False,False,0,3,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_competitor,syncflow-alternative,2025-04-21T17:13:00,newsletter_signup
PRO-00013,Jordan Kim,BI Manager,manager,1.0,Tangent Labs,False,False,False,0,1,google,GGL-NonBrand-ETL-Tools,google,paid-search,ggl_nonbrand_etl_tools,text-ad_competitor,data-integration-platform,2025-06-20T10:40:00,newsletter_signup
PRO-00013,Jordan Kim,BI Manager,manager,1.0,Tangent Labs,False,False,False,0,2,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_social-proof_cta-demo,li-abm-strategic-accounts,2025-07-03T16:00:00,gated_content_download
PRO-00014,Reese Rodriguez,Director of Data Engineering,director,1.25,Pipeform,True,False,False,0,1,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_product-feature_cta-demo,li-abm-strategic-accounts,2025-04-18T11:42:00,trial_signup
PRO-00014,Reese Rodriguez,Director of Data Engineering,director,1.25,Pipeform,True,False,False,0,2,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_social-proof_cta-demo,li-lookalike-closed-won,2025-05-09T11:55:00,gated_content_download
PRO-00014,Reese Rodriguez,Director of Data Engineering,director,1.25,Pipeform,True,False,False,0,3,google,GGL-NonBrand-DataPipeline,google,paid-search,ggl_nonbrand_datapipeline,text-ad_search,streamlink-vs-syncflow,2025-05-27T13:50:00,gated_content_download
PRO-00014,Reese Rodriguez,Director of Data Engineering,director,1.25,Pipeform,True,False,False,0,4,g2,G2-GridReport-ETL-Gated,g2,review-site,g2_gridreport_etl_gated,badge-display_integration,data-integration-review,2025-06-16T08:54:00,gated_content_download
PRO-00015,Quinn Smith,Data Platform Manager,manager,1.0,Syncflow,False,False,False,0,1,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_competitor,pipeform-alternative,2025-02-05T12:22:00,gated_content_download
PRO-00015,Quinn Smith,Data Platform Manager,manager,1.0,Syncflow,False,False,False,0,2,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_awareness,retarget-site-visitors-14d,2025-02-12T09:56:00,gated_content_download
PRO-00015,Quinn Smith,Data Platform Manager,manager,1.0,Syncflow,False,False,False,0,3,programmatic,DSP-Awareness-DataEngineers,stackadapt,display,dsp_awareness_dataengineers,display-banner_awareness,lookalike-data-engineers,2025-02-28T14:22:00,gated_content_download
PRO-00016,Avery Brown,Data Engineer,ic_analyst,0.75,Pipeform,False,False,False,0,1,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_thought-leadership_cta-learn-more,li-abm-strategic-accounts,2025-10-03T11:23:00,gated_content_download
PRO-00016,Avery Brown,Data Engineer,ic_analyst,0.75,Pipeform,False,False,False,0,2,programmatic,DSP-Retarget-HighIntent-14d,stackadapt,display,dsp_retarget_highintent_14d,display-banner_awareness,retarget-site-visitors-14d,2025-10-23T09:46:00,gated_content_download
PRO-00016,Avery Brown,Data Engineer,ic_analyst,0.75,Pipeform,False,False,False,0,3,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,retarget-banner_category,data-integration-review,2025-11-10T12:35:00,newsletter_signup
PRO-00017,Cameron Moore,Data Analyst,ic_analyst,0.75,Axiom Cloud,False,False,False,0,1,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_rlsa,data-integration-platform,2025-08-11T17:38:00,newsletter_signup
PRO-00017,Cameron Moore,Data Analyst,ic_analyst,0.75,Axiom Cloud,False,False,False,0,2,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_awareness,abm-strategic-accounts,2025-08-26T15:50:00,gated_content_download
PRO-00018,Morgan Lee,Director of Business Intelligence,director,1.25,Beacon Platforms,False,False,False,0,1,linkedin,LI-MOFU-Trial-AnalyticsTeams,linkedin,paid-social,li_mofu_trial_analyticsteams,single-image_pain-point_cta-trial,li-lookalike-closed-won,2025-04-14T10:01:00,gated_content_download
PRO-00018,Morgan Lee,Director of Business Intelligence,director,1.25,Beacon Platforms,False,False,False,0,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,badge-display_integration,data-integration-review,2025-05-01T17:12:00,gated_content_download
PRO-00019,Alex Hall,Data Engineer,ic_analyst,0.75,Beacon Platforms,False,False,False,0,1,google,GGL-Competitor-Streamlink-Alt,google,paid-search,ggl_competitor_streamlink_alt,text-ad_rlsa,etl-software,2025-04-23T10:51:00,newsletter_signup
PRO-00019,Alex Hall,Data Engineer,ic_analyst,0.75,Beacon Platforms,False,False,False,0,2,linkedin,LI-MOFU-Trial-AnalyticsTeams,linkedin,paid-social,li_mofu_trial_analyticsteams,single-image_thought-leadership_cta-learn-more,li-lookalike-closed-won,2025-05-14T09:29:00,newsletter_signup
PRO-00019,Alex Hall,Data Engineer,ic_analyst,0.75,Beacon Platforms,False,False,False,0,3,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_awareness,retarget-site-visitors-14d,2025-06-02T16:27:00,newsletter_signup
PRO-00019,Alex Hall,Data Engineer,ic_analyst,0.75,Beacon Platforms,False,False,False,0,4,g2,G2-Retarget-CategoryBuyers,g2,review-site,g2_retarget_categorybuyers,badge-display_integration,pipeline-software-evaluation,2025-06-23T11:53:00,gated_content_download
PRO-00020,Quinn Brown,Director of Data Engineering,director,1.25,Cloudnetic,True,False,False,0,1,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_pain-point_cta-trial,li-lookalike-closed-won,2025-04-29T14:44:00,gated_content_download
PRO-00020,Quinn Brown,Director of Data Engineering,director,1.25,Cloudnetic,True,False,False,0,2,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_product-feature_cta-demo,li-lookalike-closed-won,2025-05-14T15:26:00,demo_request
PRO-00021,Emery Chen,Senior Data Engineer,ic_analyst,0.75,Stratum Data,True,False,False,0,1,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_competitor,streamlink-vs-syncflow,2025-01-06T13:19:00,trial_signup
PRO-00021,Emery Chen,Senior Data Engineer,ic_analyst,0.75,Stratum Data,True,False,False,0,2,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_thought-leadership_cta-download,li-lookalike-closed-won,2025-01-27T17:57:00,newsletter_signup
PRO-00021,Emery Chen,Senior Data Engineer,ic_analyst,0.75,Stratum Data,True,False,False,0,3,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_social-proof_cta-demo,li-lookalike-closed-won,2025-02-10T13:42:00,demo_request
PRO-00022,Finley Harris,VP of Data,c_suite_vp,1.5,Ember Analytics,True,False,False,0,1,linkedin,LI-MOFU-Demo-DataEngineers,linkedin,paid-social,li_mofu_demo_dataengineers,single-image_social-proof_cta-learn-more,li-lookalike-closed-won,2025-08-25T10:03:00,gated_content_download
PRO-00022,Finley Harris,VP of Data,c_suite_vp,1.5,Ember Analytics,True,False,False,0,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,badge-display_integration,etl-tools-comparison,2025-09-15T14:17:00,newsletter_signup
PRO-00023,Quinn Thompson,Data Engineer,ic_analyst,0.75,Streamlink,True,False,False,0,1,linkedin,LI-ENT-Awareness-DataIntegration,linkedin,paid-social,li_ent_awareness_dataintegration,single-image_social-proof_cta-learn-more,li-mid-analytics-directors,2025-05-07T11:53:00,newsletter_signup
PRO-00023,Quinn Thompson,Data Engineer,ic_analyst,0.75,Streamlink,True,False,False,0,2,google,GGL-NonBrand-DataPipeline,google,paid-search,ggl_nonbrand_datapipeline,text-ad_rlsa,data-pipeline-tools,2025-05-15T17:13:00,newsletter_signup
PRO-00023,Quinn Thompson,Data Engineer,ic_analyst,0.75,Streamlink,True,False,False,0,3,programmatic,DSP-ABM-AirCover-Strategic,stackadapt,display,dsp_abm_aircover_strategic,display-banner_awareness,abm-strategic-accounts,2025-06-02T09:49:00,demo_request
PRO-00023,Quinn Thompson,Data Engineer,ic_analyst,0.75,Streamlink,True,False,False,0,4,linkedin,LI-ENT-Awareness-DataPipeline,linkedin,paid-social,li_ent_awareness_datapipeline,single-image_social-proof_cta-learn-more,li-ent-data-engineers,2025-06-18T14:25:00,newsletter_signup
PRO-00024,Hayden Nguyen,Data Engineer,ic_analyst,0.75,Meridian Cloud,False,False,False,0,1,linkedin,LI-MOFU-Demo-DataEngineers,linkedin,paid-social,li_mofu_demo_dataengineers,single-image_pain-point_cta-demo,li-lookalike-closed-won,2025-08-08T13:04:00,trial_signup
PRO-00024,Hayden Nguyen,Data Engineer,ic_analyst,0.75,Meridian Cloud,False,False,False,0,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,retarget-banner_category,etl-tools-comparison,2025-08-18T14:23:00,gated_content_download
PRO-00024,Hayden Nguyen,Data Engineer,ic_analyst,0.75,Meridian Cloud,False,False,False,0,3,g2,G2-Retarget-CategoryBuyers,g2,review-site,g2_retarget_categorybuyers,badge-display_integration,data-integration-review,2025-09-05T16:41:00,gated_content_download
PRO-00025,Kendall Smith,Data Analyst,ic_analyst,0.75,Onyx Intelligence,True,True,False,56351,1,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_rlsa,etl-software,2025-05-05T15:36:00,newsletter_signup
PRO-00025,Kendall Smith,Data Analyst,ic_analyst,0.75,Onyx Intelligence,True,True,False,56351,2,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_thought-leadership_cta-download,li-retarget-site-visitors-30d,2025-05-19T10:31:00,gated_content_download
PRO-00025,Kendall Smith,Data Analyst,ic_analyst,0.75,Onyx Intelligence,True,True,False,56351,3,g2,G2-GridReport-ETL-Gated,g2,review-site,g2_gridreport_etl_gated,gated-report_etl,etl-tools-comparison,2025-06-04T12:35:00,trial_signup
PRO-00025,Kendall Smith,Data Analyst,ic_analyst,0.75,Onyx Intelligence,True,True,False,56351,4,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_competitor,streamlink-vs-syncflow,2025-06-18T16:48:00,newsletter_signup
PRO-00026,Sage Harris,BI Manager,manager,1.0,Datavera,False,False,False,0,1,google,GGL-NonBrand-DataPipeline,google,paid-search,ggl_nonbrand_datapipeline,text-ad_rlsa,syncflow-alternative,2025-10-09T13:22:00,gated_content_download
PRO-00026,Sage Harris,BI Manager,manager,1.0,Datavera,False,False,False,0,2,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_social-proof_cta-demo,li-mid-analytics-directors,2025-10-27T11:20:00,gated_content_download
PRO-00026,Sage Harris,BI Manager,manager,1.0,Datavera,False,False,False,0,3,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_pain-point_cta-trial,li-mid-analytics-directors,2025-11-10T12:46:00,gated_content_download
PRO-00027,Cameron Chen,BI Manager,manager,1.0,Solaris Data,True,True,False,49953,1,google,GGL-NonBrand-ETL-Tools,google,paid-search,ggl_nonbrand_etl_tools,text-ad_competitor,data-integration-platform,2025-01-28T16:18:00,gated_content_download
PRO-00027,Cameron Chen,BI Manager,manager,1.0,Solaris Data,True,True,False,49953,2,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_rlsa,data-pipeline-tools,2025-02-04T17:18:00,demo_request
PRO-00028,Parker Kim,Data Engineering Manager,manager,1.0,Pulsestream,False,False,False,0,1,google,GGL-Brand-Syncflow-Exact,google,paid-search,ggl_brand_syncflow_exact,text-ad_competitor,data-integration-platform,2025-10-16T12:05:00,newsletter_signup
PRO-00028,Parker Kim,Data Engineering Manager,manager,1.0,Pulsestream,False,False,False,0,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,badge-display_integration,data-integration-review,2025-11-04T17:14:00,gated_content_download
PRO-00029,Finley Martin,Data Engineering Manager,manager,1.0,Pipeform,True,True,True,53643,1,google,GGL-NonBrand-ETL-Tools,google,paid-search,ggl_nonbrand_etl_tools,text-ad_search,data-pipeline-tools,2025-04-17T11:16:00,newsletter_signup
PRO-00029,Finley Martin,Data Engineering Manager,manager,1.0,Pipeform,True,True,True,53643,2,google,GGL-Competitor-Streamlink-Alt,google,paid-search,ggl_competitor_streamlink_alt,text-ad_rlsa,syncflow-alternative,2025-04-28T08:26:00,gated_content_download
PRO-00029,Finley Martin,Data Engineering Manager,manager,1.0,Pipeform,True,True,True,53643,3,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_search,syncflow-alternative,2025-05-09T12:44:00,trial_signup
PRO-00029,Finley Martin,Data Engineering Manager,manager,1.0,Pipeform,True,True,True,53643,4,linkedin,LI-MOFU-Trial-AnalyticsTeams,linkedin,paid-social,li_mofu_trial_analyticsteams,single-image_pain-point_cta-trial,li-abm-strategic-accounts,2025-05-26T17:42:00,gated_content_download
PRO-00030,Morgan Patel,Senior Data Engineer,ic_analyst,0.75,Conduitly,True,True,True,43472,1,linkedin,LI-Retarget-PricingPage-14d,linkedin,paid-social,li_retarget_pricingpage_14d,single-image_thought-leadership_cta-download,li-lookalike-closed-won,2025-10-20T12:28:00,demo_request
PRO-00030,Morgan Patel,Senior Data Engineer,ic_analyst,0.75,Conduitly,True,True,True,43472,2,google,GGL-Competitor-Streamlink-Alt,google,paid-search,ggl_competitor_streamlink_alt,text-ad_search,data-integration-platform,2025-11-04T16:31:00,trial_signup
PRO-00030,Morgan Patel,Senior Data Engineer,ic_analyst,0.75,Conduitly,True,True,True,43472,3,g2,G2-Retarget-CategoryBuyers,g2,review-site,g2_retarget_categorybuyers,retarget-banner_category,pipeline-software-evaluation,2025-11-20T12:01:00,demo_request
PRO-00031,Jamie Jackson,BI Manager,manager,1.0,Tangent Labs,False,False,False,0,1,google,GGL-Brand-Syncflow-Exact,google,paid-search,ggl_brand_syncflow_exact,text-ad_rlsa,syncflow-alternative,2025-10-27T14:40:00,gated_content_download
PRO-00031,Jamie Jackson,BI Manager,manager,1.0,Tangent Labs,False,False,False,0,2,linkedin,LI-MOFU-Trial-AnalyticsTeams,linkedin,paid-social,li_mofu_trial_analyticsteams,single-image_product-feature_cta-trial,li-retarget-site-visitors-30d,2025-11-10T09:54:00,newsletter_signup
PRO-00032,Jordan Anderson,Director of Business Intelligence,director,1.25,Streamlink,True,True,False,90940,1,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_competitor,data-integration-platform,2025-07-28T16:52:00,gated_content_download
PRO-00032,Jordan Anderson,Director of Business Intelligence,director,1.25,Streamlink,True,True,False,90940,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,retarget-banner_category,data-integration-review,2025-08-07T16:23:00,trial_signup
PRO-00033,Dana Hall,Data Engineering Manager,manager,1.0,Solaris Data,True,False,False,0,1,linkedin,LI-Retarget-SiteVisitors-30d,linkedin,paid-social,li_retarget_sitevisitors_30d,single-image_product-feature_cta-demo,li-ent-data-engineers,2025-05-05T10:19:00,gated_content_download
PRO-00033,Dana Hall,Data Engineering Manager,manager,1.0,Solaris Data,True,False,False,0,2,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_retarget,lookalike-data-engineers,2025-05-26T09:29:00,gated_content_download
PRO-00033,Dana Hall,Data Engineering Manager,manager,1.0,Solaris Data,True,False,False,0,3,programmatic,DSP-ABM-AirCover-Commercial,stackadapt,display,dsp_abm_aircover_commercial,display-banner_retarget,lookalike-data-engineers,2025-06-13T12:26:00,gated_content_download
PRO-00033,Dana Hall,Data Engineering Manager,manager,1.0,Solaris Data,True,False,False,0,4,linkedin,LI-ABM-Strategic-ENT,linkedin,paid-social,li_abm_strategic_ent,single-image_pain-point_cta-trial,li-retarget-site-visitors-30d,2025-06-23T17:32:00,trial_signup
PRO-00034,Blake Allen,Data Engineering Manager,manager,1.0,Meridian Cloud,True,False,False,0,1,google,GGL-Competitor-Pipeform-Alt,google,paid-search,ggl_competitor_pipeform_alt,text-ad_search,data-integration-platform,2025-06-02T17:37:00,newsletter_signup
PRO-00034,Blake Allen,Data Engineering Manager,manager,1.0,Meridian Cloud,True,False,False,0,2,g2,G2-Badge-LP-Integration,g2,review-site,g2_badge_lp_integration,badge-display_integration,data-integration-review,2025-06-16T13:35:00,trial_signup
PRO-00035,Quinn Harris,Director of Data,director,1.25,Pulsestream,True,False,False,0,1,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_search,data-integration-platform,2025-09-01T14:24:00,demo_request
PRO-00035,Quinn Harris,Director of Data,director,1.25,Pulsestream,True,False,False,0,2,google,GGL-Brand-Syncflow-Exact,google,paid-search,ggl_brand_syncflow_exact,text-ad_rlsa,etl-software,2025-09-10T16:37:00,newsletter_signup
PRO-00036,Phoenix Rodriguez,Analytics Engineer,ic_analyst,0.75,Gridlane,True,False,False,0,1,google,GGL-RLSA-HighIntent-Visitors,google,paid-search,ggl_rlsa_highintent_visitors,text-ad_search,syncflow-alternative,2025-05-16T13:39:00,trial_signup
PRO-00036,Phoenix Rodriguez,Analytics Engineer,ic_analyst,0.75,Gridlane,True,False,False,0,2,programmatic,DSP-Awareness-DataEngineers,stackadapt,display,dsp_awareness_dataengineers,display-banner_awareness,abm-strategic-accounts,2025-06-05T16:24:00,newsletter_signup
PRO-00037,Cameron Smith,Chief Data Officer,c_suite_vp,1.5,Apex Workflows,True,False,False,0,1,google,GGL-Brand-Syncflow-Exact,google,paid-search,ggl_brand_syncflow_exact,text-ad_search,syncflow-alternative,2025-02-21T15:10:00,trial_signup
